trade_id,timestamp,hour,factory_id,city,energy_purchased_MW,tokens_burned,exergy_dissipated_MJ
TRD-00048,2026-04-02T09:00:00+08:00,9,FAC-SH-02,Shanghai,0.018496,19.4935,2.1597
TRD-00049,2026-04-02T10:00:00+08:00,10,FAC-HZ-01,Hangzhou,0.025814,27.2133,1.7856
TRD-00050,2026-04-02T10:00:00+08:00,10,FAC-SH-02,Shanghai,0.010385,10.3329,1.2785
TRD-00051,2026-04-02T10:00:00+08:00,10,FAC-BJ-01,Beijing,0.02715,27.581,2.66
TRD-00052,2026-04-02T11:00:00+08:00,11,FAC-SH-02,Shanghai,0.01897,20.1742,2.374
TRD-00053,2026-04-02T11:00:00+08:00,11,FAC-BJ-01,Beijing,0.021188,21.3093,1.4663
TRD-00054,2026-04-02T11:00:00+08:00,11,FAC-SH-01,Shanghai,0.014057,13.7833,0.8147
TRD-00055,2026-04-02T12:00:00+08:00,12,FAC-BJ-01,Beijing,0.030833,29.662,3.4367
TRD-00056,2026-04-02T12:00:00+08:00,12,FAC-SH-01,Shanghai,0.031038,31.9019,2.7759
TRD-00057,2026-04-02T12:00:00+08:00,12,FAC-CD-01,Chengdu,0.020372,21.9107,1.2734
TRD-00058,2026-04-02T13:00:00+08:00,13,FAC-SH-01,Shanghai,0.033609,35.9328,4.1971
TRD-00059,2026-04-02T13:00:00+08:00,13,FAC-CD-01,Chengdu,0.018371,19.1955,1.4747
TRD-00060,2026-04-02T13:00:00+08:00,13,FAC-SZ-01,Shenzhen,0.015795,14.9527,0.9771
TRD-00061,2026-04-02T14:00:00+08:00,14,FAC-CD-01,Chengdu,0.028467,28.8075,1.9712
TRD-00062,2026-04-02T14:00:00+08:00,14,FAC-SZ-01,Shenzhen,0.017835,16.9154,1.5319
TRD-00063,2026-04-02T14:00:00+08:00,14,FAC-HZ-01,Hangzhou,0.01866,17.894,2.3655
TRD-00064,2026-04-02T15:00:00+08:00,15,FAC-SZ-01,Shenzhen,0.018977,19.3333,2.3665
TRD-00065,2026-04-02T15:00:00+08:00,15,FAC-HZ-01,Hangzhou,0.022882,22.5192,1.438
TRD-00066,2026-04-02T15:00:00+08:00,15,FAC-SH-02,Shanghai,0.026994,27.7474,3.5364
TRD-00067,2026-04-02T16:00:00+08:00,16,FAC-HZ-01,Hangzhou,0.006494,6.7802,0.5386
TRD-00068,2026-04-02T16:00:00+08:00,16,FAC-SH-02,Shanghai,0.014858,15.0454,2.002
TRD-00069,2026-04-02T16:00:00+08:00,16,FAC-BJ-01,Beijing,0.018227,19.549,1.9821
TRD-00070,2026-04-02T17:00:00+08:00,17,FAC-SH-02,Shanghai,0.005592,5.4614,0.3121
TRD-00071,2026-04-02T17:00:00+08:00,17,FAC-BJ-01,Beijing,0.004579,4.5287,0.2732
TRD-00072,2026-04-02T17:00:00+08:00,17,FAC-SH-01,Shanghai,0.010468,11.0518,1.1139
TRD-00073,2026-04-02T18:00:00+08:00,18,FAC-BJ-01,Beijing,0.004151,3.921,0.2635
TRD-00074,2026-04-02T18:00:00+08:00,18,FAC-SH-01,Shanghai,0.00469,4.9239,0.4735
TRD-00075,2026-04-02T18:00:00+08:00,18,FAC-CD-01,Chengdu,0.002162,2.245,0.2065
TRD-00076,2026-04-02T19:00:00+08:00,19,FAC-SH-01,Shanghai,0.000287,0.3086,0.028
TRD-00077,2026-04-02T19:00:00+08:00,19,FAC-CD-01,Chengdu,0.000336,0.3244,0.0315
TRD-00078,2026-04-02T19:00:00+08:00,19,FAC-SZ-01,Shenzhen,0.000265,0.2694,0.0354
TRD-00079,2026-04-03T07:00:00+08:00,7,FAC-CD-01,Chengdu,0.000453,0.4291,0.0353
TRD-00080,2026-04-03T07:00:00+08:00,7,FAC-SZ-01,Shenzhen,0.001059,1.0372,0.0653
TRD-00081,2026-04-03T07:00:00+08:00,7,FAC-HZ-01,Hangzhou,0.000522,0.5283,0.0528
TRD-00082,2026-04-03T08:00:00+08:00,8,FAC-SZ-01,Shenzhen,0.002706,2.7047,0.171
TRD-00083,2026-04-03T08:00:00+08:00,8,FAC-HZ-01,Hangzhou,0.002044,1.9198,0.215
TRD-00084,2026-04-03T08:00:00+08:00,8,FAC-SH-02,Shanghai,0.003866,3.8235,0.5263
TRD-00085,2026-04-03T09:00:00+08:00,9,FAC-HZ-01,Hangzhou,0.004848,4.6067,0.3758
TRD-00086,2026-04-03T09:00:00+08:00,9,FAC-SH-02,Shanghai,0.008148,7.8633,0.7934
TRD-00087,2026-04-03T09:00:00+08:00,9,FAC-BJ-01,Beijing,0.005577,5.6923,0.6363
TRD-00088,2026-04-03T10:00:00+08:00,10,FAC-SH-02,Shanghai,0.011964,12.9086,1.5019
TRD-00089,2026-04-03T10:00:00+08:00,10,FAC-BJ-01,Beijing,0.009256,8.8487,0.5387
TRD-00090,2026-04-03T10:00:00+08:00,10,FAC-SH-01,Shanghai,0.009515,9.1497,1.2333
TRD-00091,2026-04-03T11:00:00+08:00,11,FAC-BJ-01,Beijing,0.013516,13.0183,1.6038
TRD-00092,2026-04-03T11:00:00+08:00,11,FAC-SH-01,Shanghai,0.016989,16.4879,1.5416
TRD-00093,2026-04-03T11:00:00+08:00,11,FAC-CD-01,Chengdu,0.013887,14.5913,1.6415
TRD-00094,2026-04-03T12:00:00+08:00,12,FAC-SH-01,Shanghai,0.011953,12.6929,1.4258
TRD-00095,2026-04-03T12:00:00+08:00,12,FAC-CD-01,Chengdu,0.019517,20.0924,1.4438
TRD-00096,2026-04-03T12:00:00+08:00,12,FAC-SZ-01,Shenzhen,0.01513,15.6288,1.5789
TRD-00097,2026-04-03T13:00:00+08:00,13,FAC-CD-01,Chengdu,0.022797,21.7811,1.5514
TRD-00098,2026-04-03T13:00:00+08:00,13,FAC-SZ-01,Shenzhen,0.025966,26.8767,2.6478
TRD-00099,2026-04-03T13:00:00+08:00,13,FAC-HZ-01,Hangzhou,0.01725,16.3191,1.9283
TRD-00100,2026-04-03T14:00:00+08:00,14,FAC-SZ-01,Shenzhen,0.013762,14.0658,1.5077
TRD-00101,2026-04-03T14:00:00+08:00,14,FAC-HZ-01,Hangzhou,0.017812,17.8118,1.7289
TRD-00102,2026-04-03T14:00:00+08:00,14,FAC-SH-02,Shanghai,0.012443,12.6625,0.778
TRD-00103,2026-04-03T15:00:00+08:00,15,FAC-HZ-01,Hangzhou,0.010423,11.1445,1.0343
TRD-00104,2026-04-03T15:00:00+08:00,15,FAC-SH-02,Shanghai,0.00974,9.2785,0.7827
TRD-00105,2026-04-03T15:00:00+08:00,15,FAC-BJ-01,Beijing,0.018664,19.7963,1.8383
TRD-00106,2026-04-03T16:00:00+08:00,16,FAC-SH-02,Shanghai,0.008461,8.2489,0.7179
TRD-00107,2026-04-03T16:00:00+08:00,16,FAC-BJ-01,Beijing,0.008845,9.2818,0.6249
TRD-00108,2026-04-03T16:00:00+08:00,16,FAC-SH-01,Shanghai,0.014887,15.7338,0.938
TRD-00109,2026-04-03T17:00:00+08:00,17,FAC-BJ-01,Beijing,0.004422,4.6552,0.5505
TRD-00110,2026-04-03T17:00:00+08:00,17,FAC-SH-01,Shanghai,0.009721,10.106,1.0871
TRD-00111,2026-04-03T17:00:00+08:00,17,FAC-CD-01,Chengdu,0.005546,5.3972,0.7372
TRD-00112,2026-04-03T18:00:00+08:00,18,FAC-SH-01,Shanghai,0.002614,2.794,0.2035
TRD-00113,2026-04-03T18:00:00+08:00,18,FAC-CD-01,Chengdu,0.00406,4.2977,0.4649
TRD-00114,2026-04-03T18:00:00+08:00,18,FAC-SZ-01,Shenzhen,0.003469,3.5182,0.1996
TRD-00115,2026-04-03T19:00:00+08:00,19,FAC-CD-01,Chengdu,0.000556,0.5415,0.0596
TRD-00116,2026-04-03T19:00:00+08:00,19,FAC-SZ-01,Shenzhen,0.000414,0.4076,0.037
TRD-00117,2026-04-03T19:00:00+08:00,19,FAC-HZ-01,Hangzhou,0.000231,0.2453,0.0282
TRD-00118,2026-04-04T07:00:00+08:00,7,FAC-SZ-01,Shenzhen,0.003777,3.8193,0.497
TRD-00119,2026-04-04T07:00:00+08:00,7,FAC-HZ-01,Hangzhou,0.003152,3.3841,0.3461
TRD-00120,2026-04-04T07:00:00+08:00,7,FAC-SH-02,Shanghai,0.002591,2.5724,0.3206
TRD-00121,2026-04-04T08:00:00+08:00,8,FAC-HZ-01,Hangzhou,0.005731,5.7607,0.4639
TRD-00122,2026-04-04T08:00:00+08:00,8,FAC-SH-02,Shanghai,0.009078,9.2614,1.1019
TRD-00123,2026-04-04T08:00:00+08:00,8,FAC-BJ-01,Beijing,0.004687,4.5408,0.4064
TRD-00124,2026-04-04T09:00:00+08:00,9,FAC-SH-02,Shanghai,0.013517,14.1884,0.8791
TRD-00125,2026-04-04T09:00:00+08:00,9,FAC-BJ-01,Beijing,0.012546,12.7214,1.1042
TRD-00126,2026-04-04T09:00:00+08:00,9,FAC-SH-01,Shanghai,0.013585,14.0426,0.8845
TRD-00127,2026-04-04T10:00:00+08:00,10,FAC-BJ-01,Beijing,0.014028,14.1285,1.2523
TRD-00128,2026-04-04T10:00:00+08:00,10,FAC-SH-01,Shanghai,0.020903,21.4542,1.6359
TRD-00129,2026-04-04T10:00:00+08:00,10,FAC-CD-01,Chengdu,0.013099,13.4927,1.7551
TRD-00130,2026-04-04T11:00:00+08:00,11,FAC-SH-01,Shanghai,0.022805,21.4732,1.8648
TRD-00131,2026-04-04T11:00:00+08:00,11,FAC-CD-01,Chengdu,0.015873,15.1338,1.242
TRD-00132,2026-04-04T11:00:00+08:00,11,FAC-SZ-01,Shenzhen,0.022495,22.7075,1.5926
TRD-00133,2026-04-04T12:00:00+08:00,12,FAC-CD-01,Chengdu,0.031481,30.0642,2.2934
TRD-00134,2026-04-04T12:00:00+08:00,12,FAC-SZ-01,Shenzhen,0.028989,29.7025,2.0469
TRD-00135,2026-04-04T12:00:00+08:00,12,FAC-HZ-01,Hangzhou,0.014635,14.172,0.9245
TRD-00136,2026-04-04T13:00:00+08:00,13,FAC-SZ-01,Shenzhen,0.033781,35.4456,3.1213
TRD-00137,2026-04-04T13:00:00+08:00,13,FAC-HZ-01,Hangzhou,0.014785,14.4305,2.0223
TRD-00138,2026-04-04T13:00:00+08:00,13,FAC-SH-02,Shanghai,0.025284,24.067,1.5377
TRD-00139,2026-04-04T14:00:00+08:00,14,FAC-HZ-01,Hangzhou,0.018996,17.8147,1.2814
TRD-00140,2026-04-04T14:00:00+08:00,14,FAC-SH-02,Shanghai,0.027555,25.7893,3.6561
TRD-00141,2026-04-04T14:00:00+08:00,14,FAC-BJ-01,Beijing,0.024022,22.897,1.8367
TRD-00142,2026-04-04T15:00:00+08:00,15,FAC-SH-02,Shanghai,0.026643,25.2877,2.341
TRD-00143,2026-04-04T15:00:00+08:00,15,FAC-BJ-01,Beijing,0.015937,17.0084,1.1103
TRD-00144,2026-04-04T15:00:00+08:00,15,FAC-SH-01,Shanghai,0.020071,21.1417,1.0977
TRD-00145,2026-04-04T16:00:00+08:00,16,FAC-BJ-01,Beijing,0.020776,21.6632,1.5541
TRD-00146,2026-04-04T16:00:00+08:00,16,FAC-SH-01,Shanghai,0.012332,13.1436,1.363
TRD-00147,2026-04-04T16:00:00+08:00,16,FAC-CD-01,Chengdu,0.021545,20.4758,1.5279
TRD-00148,2026-04-04T17:00:00+08:00,17,FAC-SH-01,Shanghai,0.01046,10.6433,1.2074
TRD-00149,2026-04-04T17:00:00+08:00,17,FAC-CD-01,Chengdu,0.01466,14.9352,1.877
TRD-00150,2026-04-04T17:00:00+08:00,17,FAC-SZ-01,Shenzhen,0.009532,9.0669,1.2335
TRD-00151,2026-04-04T18:00:00+08:00,18,FAC-CD-01,Chengdu,0.00467,4.9039,0.4223
TRD-00152,2026-04-04T18:00:00+08:00,18,FAC-SZ-01,Shenzhen,0.005256,5.558,0.5848
TRD-00153,2026-04-04T18:00:00+08:00,18,FAC-HZ-01,Hangzhou,0.00324,3.361,0.3605
TRD-00154,2026-04-04T19:00:00+08:00,19,FAC-SZ-01,Shenzhen,0.000246,0.2619,0.0238
TRD-00155,2026-04-04T19:00:00+08:00,19,FAC-HZ-01,Hangzhou,0.00046,0.4942,0.054
TRD-00156,2026-04-04T19:00:00+08:00,19,FAC-SH-02,Shanghai,0.000532,0.5239,0.0413
TRD-00157,2026-04-05T07:00:00+08:00,7,FAC-HZ-01,Hangzhou,0.003673,3.6212,0.4735
TRD-00158,2026-04-05T07:00:00+08:00,7,FAC-SH-02,Shanghai,0.00181,1.7044,0.2259
TRD-00159,2026-04-05T07:00:00+08:00,7,FAC-BJ-01,Beijing,0.002061,2.2128,0.2569
TRD-00160,2026-04-05T08:00:00+08:00,8,FAC-SH-02,Shanghai,0.011248,11.1942,1.2586
TRD-00161,2026-04-05T08:00:00+08:00,8,FAC-BJ-01,Beijing,0.005901,5.8533,0.3249
TRD-00162,2026-04-05T08:00:00+08:00,8,FAC-SH-01,Shanghai,0.004872,5.0732,0.376
TRD-00163,2026-04-05T09:00:00+08:00,9,FAC-BJ-01,Beijing,0.007859,7.6154,0.9565
TRD-00164,2026-04-05T09:00:00+08:00,9,FAC-SH-01,Shanghai,0.012224,12.5021,1.4874
TRD-00165,2026-04-05T09:00:00+08:00,9,FAC-CD-01,Chengdu,0.007636,7.5462,0.9842
TRD-00166,2026-04-05T10:00:00+08:00,10,FAC-SH-01,Shanghai,0.017901,18.918,1.5411
TRD-00167,2026-04-05T10:00:00+08:00,10,FAC-CD-01,Chengdu,0.016891,17.3237,1.8425
TRD-00168,2026-04-05T10:00:00+08:00,10,FAC-SZ-01,Shenzhen,0.01396,14.7573,1.1842
TRD-00169,2026-04-05T11:00:00+08:00,11,FAC-CD-01,Chengdu,0.024647,24.4488,2.5697
TRD-00170,2026-04-05T11:00:00+08:00,11,FAC-SZ-01,Shenzhen,0.019368,19.4798,1.7605
TRD-00171,2026-04-05T11:00:00+08:00,11,FAC-HZ-01,Hangzhou,0.026767,28.4627,2.2567
TRD-00172,2026-04-05T12:00:00+08:00,12,FAC-SZ-01,Shenzhen,0.018982,18.0832,2.0394
TRD-00173,2026-04-05T12:00:00+08:00,12,FAC-HZ-01,Hangzhou,0.029558,29.0753,3.7913
TRD-00174,2026-04-05T12:00:00+08:00,12,FAC-SH-02,Shanghai,0.021601,22.5706,2.4631
TRD-00175,2026-04-05T13:00:00+08:00,13,FAC-HZ-01,Hangzhou,0.03012,31.1755,2.522
TRD-00176,2026-04-05T13:00:00+08:00,13,FAC-SH-02,Shanghai,0.024842,26.5629,2.5466
TRD-00177,2026-04-05T13:00:00+08:00,13,FAC-BJ-01,Beijing,0.017411,18.8037,1.8879
TRD-00178,2026-04-05T14:00:00+08:00,14,FAC-SH-02,Shanghai,0.023211,22.062,2.4176
TRD-00179,2026-04-05T14:00:00+08:00,14,FAC-BJ-01,Beijing,0.028805,30.5788,2.803
TRD-00180,2026-04-05T14:00:00+08:00,14,FAC-SH-01,Shanghai,0.024714,26.1752,2.5691
TRD-00181,2026-04-05T15:00:00+08:00,15,FAC-BJ-01,Beijing,0.01098,11.3816,0.5951
TRD-00182,2026-04-05T15:00:00+08:00,15,FAC-SH-01,Shanghai,0.013969,14.5115,1.4988
TRD-00183,2026-04-05T15:00:00+08:00,15,FAC-CD-01,Chengdu,0.015047,14.7847,0.8434
TRD-00184,2026-04-05T16:00:00+08:00,16,FAC-SH-01,Shanghai,0.017406,17.7746,1.8854
TRD-00185,2026-04-05T16:00:00+08:00,16,FAC-CD-01,Chengdu,0.019332,18.9017,2.4933
TRD-00186,2026-04-05T16:00:00+08:00,16,FAC-SZ-01,Shenzhen,0.014858,16.0441,1.9521
TRD-00187,2026-04-05T17:00:00+08:00,17,FAC-CD-01,Chengdu,0.00975,9.5165,1.1133
TRD-00188,2026-04-05T17:00:00+08:00,17,FAC-SZ-01,Shenzhen,0.004956,5.1495,0.6022
TRD-00189,2026-04-05T17:00:00+08:00,17,FAC-HZ-01,Hangzhou,0.007858,8.2264,0.7316
TRD-00190,2026-04-05T18:00:00+08:00,18,FAC-SZ-01,Shenzhen,0.002818,2.7932,0.378
TRD-00191,2026-04-05T18:00:00+08:00,18,FAC-HZ-01,Hangzhou,0.003098,2.9113,0.3021
TRD-00192,2026-04-05T18:00:00+08:00,18,FAC-SH-02,Shanghai,0.00207,2.2061,0.1488
TRD-00193,2026-04-05T19:00:00+08:00,19,FAC-HZ-01,Hangzhou,0.000392,0.3842,0.039
TRD-00194,2026-04-05T19:00:00+08:00,19,FAC-SH-02,Shanghai,0.000372,0.3976,0.0214
TRD-00195,2026-04-05T19:00:00+08:00,19,FAC-BJ-01,Beijing,0.000364,0.3761,0.032
TRD-00196,2026-04-06T07:00:00+08:00,7,FAC-SH-02,Shanghai,0.001606,1.5452,0.1911
TRD-00197,2026-04-06T07:00:00+08:00,7,FAC-BJ-01,Beijing,0.001222,1.2816,0.1371
TRD-00198,2026-04-06T07:00:00+08:00,7,FAC-SH-01,Shanghai,0.001587,1.5156,0.0975
TRD-00199,2026-04-06T08:00:00+08:00,8,FAC-BJ-01,Beijing,0.002418,2.2542,0.264
TRD-00200,2026-04-06T08:00:00+08:00,8,FAC-SH-01,Shanghai,0.002898,3.0314,0.1649
TRD-00201,2026-04-06T08:00:00+08:00,8,FAC-CD-01,Chengdu,0.003485,3.2529,0.4243
TRD-00202,2026-04-06T09:00:00+08:00,9,FAC-SH-01,Shanghai,0.007064,7.1445,0.7382
TRD-00203,2026-04-06T09:00:00+08:00,9,FAC-CD-01,Chengdu,0.008432,8.9085,0.5442
TRD-00204,2026-04-06T09:00:00+08:00,9,FAC-SZ-01,Shenzhen,0.009316,9.7503,0.6371
TRD-00205,2026-04-06T10:00:00+08:00,10,FAC-CD-01,Chengdu,0.011681,11.5385,1.474
TRD-00206,2026-04-06T10:00:00+08:00,10,FAC-SZ-01,Shenzhen,0.018207,17.6433,2.1284
TRD-00207,2026-04-06T10:00:00+08:00,10,FAC-HZ-01,Hangzhou,0.007527,7.63,0.9852
TRD-00208,2026-04-06T11:00:00+08:00,11,FAC-SZ-01,Shenzhen,0.020002,21.0864,2.1553
TRD-00209,2026-04-06T11:00:00+08:00,11,FAC-HZ-01,Hangzhou,0.011416,10.8059,0.9098
TRD-00210,2026-04-06T11:00:00+08:00,11,FAC-SH-02,Shanghai,0.021383,23.0552,1.8988
TRD-00211,2026-04-06T12:00:00+08:00,12,FAC-HZ-01,Hangzhou,0.019443,20.3255,1.4481
TRD-00212,2026-04-06T12:00:00+08:00,12,FAC-SH-02,Shanghai,0.01392,13.7411,0.7874
TRD-00213,2026-04-06T12:00:00+08:00,12,FAC-BJ-01,Beijing,0.017271,16.3577,2.233
TRD-00214,2026-04-06T13:00:00+08:00,13,FAC-SH-02,Shanghai,0.014414,14.6785,0.9009
TRD-00215,2026-04-06T13:00:00+08:00,13,FAC-BJ-01,Beijing,0.010845,11.5408,1.3279
TRD-00216,2026-04-06T13:00:00+08:00,13,FAC-SH-01,Shanghai,0.010741,11.2924,0.9546
TRD-00217,2026-04-06T14:00:00+08:00,14,FAC-BJ-01,Beijing,0.015252,14.6035,1.1428
TRD-00218,2026-04-06T14:00:00+08:00,14,FAC-SH-01,Shanghai,0.017597,16.7084,1.4677
TRD-00219,2026-04-06T14:00:00+08:00,14,FAC-CD-01,Chengdu,0.022786,22.5454,2.2866
TRD-00220,2026-04-06T15:00:00+08:00,15,FAC-SH-01,Shanghai,0.015931,16.6892,1.2754
TRD-00221,2026-04-06T15:00:00+08:00,15,FAC-CD-01,Chengdu,0.017424,17.9848,2.2146
TRD-00222,2026-04-06T15:00:00+08:00,15,FAC-SZ-01,Shenzhen,0.022297,23.8815,2.9133
TRD-00223,2026-04-06T16:00:00+08:00,16,FAC-CD-01,Chengdu,0.017073,17.3776,1.3889
TRD-00224,2026-04-06T16:00:00+08:00,16,FAC-SZ-01,Shenzhen,0.009314,9.8352,1.0722
TRD-00225,2026-04-06T16:00:00+08:00,16,FAC-HZ-01,Hangzhou,0.010823,10.8307,1.436
TRD-00226,2026-04-06T17:00:00+08:00,17,FAC-SZ-01,Shenzhen,0.004278,4.4018,0.5172
TRD-00227,2026-04-06T17:00:00+08:00,17,FAC-HZ-01,Hangzhou,0.00621,6.4851,0.5485
TRD-00228,2026-04-06T17:00:00+08:00,17,FAC-SH-02,Shanghai,0.010261,10.0878,1.2431
TRD-00229,2026-04-06T18:00:00+08:00,18,FAC-HZ-01,Hangzhou,0.001205,1.2192,0.1629
TRD-00230,2026-04-06T18:00:00+08:00,18,FAC-SH-02,Shanghai,0.002653,2.5164,0.241
TRD-00231,2026-04-06T18:00:00+08:00,18,FAC-BJ-01,Beijing,0.002144,2.2581,0.1678
TRD-00232,2026-04-06T19:00:00+08:00,19,FAC-SH-02,Shanghai,0.000427,0.4362,0.0412
TRD-00233,2026-04-06T19:00:00+08:00,19,FAC-BJ-01,Beijing,0.000429,0.446,0.0458
TRD-00234,2026-04-06T19:00:00+08:00,19,FAC-SH-01,Shanghai,0.000528,0.4928,0.0452
TRD-00235,2026-04-07T07:00:00+08:00,7,FAC-BJ-01,Beijing,0.001809,1.7419,0.1534
TRD-00236,2026-04-07T07:00:00+08:00,7,FAC-SH-01,Shanghai,0.003077,3.2748,0.2955
TRD-00237,2026-04-07T07:00:00+08:00,7,FAC-CD-01,Chengdu,0.002353,2.3036,0.2571
TRD-00238,2026-04-07T08:00:00+08:00,8,FAC-SH-01,Shanghai,0.005174,4.8302,0.5402
TRD-00239,2026-04-07T08:00:00+08:00,8,FAC-CD-01,Chengdu,0.007,6.8167,0.59
TRD-00240,2026-04-07T08:00:00+08:00,8,FAC-SZ-01,Shenzhen,0.005251,5.3123,0.4492
TRD-00241,2026-04-07T09:00:00+08:00,9,FAC-CD-01,Chengdu,0.018858,18.3072,1.1033
TRD-00242,2026-04-07T09:00:00+08:00,9,FAC-SZ-01,Shenzhen,0.011641,11.7236,0.9307
TRD-00243,2026-04-07T09:00:00+08:00,9,FAC-HZ-01,Hangzhou,0.008709,8.6835,0.7916
TRD-00244,2026-04-07T10:00:00+08:00,10,FAC-SZ-01,Shenzhen,0.024134,23.5696,1.9849
TRD-00245,2026-04-07T10:00:00+08:00,10,FAC-HZ-01,Hangzhou,0.019281,18.1232,1.7379
TRD-00246,2026-04-07T10:00:00+08:00,10,FAC-SH-02,Shanghai,0.012024,12.701,1.4092
